vehicle_id,owner,driver,vehicle_operator,vehicle_type_id,number_plate,fuel_type,vehicle_status
88,Owner_88,Driver_88,13,5,AB-71-AB-7970,Electric,In Use
89,Owner_89,Driver_89,17,4,AB-94-AB-3541,Diesel,In Use
90,Owner_90,Driver_90,10,4,AB-49-AB-7768,Petrol,In Use
91,Owner_91,Driver_91,10,3,AB-44-AB-9669,Electric,Available
92,Owner_92,Driver_92,13,4,AB-91-AB-2784,Petrol,Under Maintenance
93,Owner_93,Driver_93,18,1,AB-47-AB-6663,Electric,Under Maintenance
94,Owner_94,Driver_94,18,1,AB-27-AB-7797,Diesel,Under Maintenance
95,Owner_95,Driver_95,6,4,AB-94-AB-8134,Electric,Available
96,Owner_96,Driver_96,14,3,AB-79-AB-4494,Diesel,In Use
97,Owner_97,Driver_97,18,5,AB-91-AB-5316,Diesel,Under Maintenance
98,Owner_98,Driver_98,9,2,AB-49-AB-7460,Petrol,In Use
99,Owner_99,Driver_99,19,4,AB-39-AB-6414,Diesel,Under Maintenance
100,Owner_100,Driver_100,17,1,AB-32-AB-3449,Petrol,Under Maintenance
101,Owner_101,Driver_101,6,5,AB-13-AB-8111,Petrol,In Use
102,Owner_102,Driver_102,16,1,AB-39-AB-6224,Electric,Under Maintenance
103,Owner_103,Driver_103,1,3,AB-87-AB-6980,Electric,Available
104,Owner_104,Driver_104,11,4,AB-36-AB-8809,Electric,Under Maintenance
105,Owner_105,Driver_105,17,5,AB-54-AB-4894,Electric,In Use
106,Owner_106,Driver_106,5,2,AB-31-AB-6430,Electric,Available
107,Owner_107,Driver_107,12,1,AB-81-AB-5289,Diesel,Under Maintenance
108,Owner_108,Driver_108,19,4,AB-53-AB-9727,Electric,In Use
109,Owner_109,Driver_109,4,4,AB-72-AB-8211,Diesel,Under Maintenance
110,Owner_110,Driver_110,9,5,AB-89-AB-1620,Diesel,Available
111,Owner_111,Driver_111,12,2,AB-97-AB-3554,Petrol,Available
112,Owner_112,Driver_112,9,3,AB-27-AB-5302,Diesel,Under Maintenance
113,Owner_113,Driver_113,1,1,AB-90-AB-9114,Diesel,In Use
114,Owner_114,Driver_114,19,1,AB-37-AB-3673,Petrol,In Use
115,Owner_115,Driver_115,19,3,AB-16-AB-1563,Petrol,Under Maintenance
116,Owner_116,Driver_116,15,5,AB-30-AB-9606,Diesel,Under Maintenance
117,Owner_117,Driver_117,9,2,AB-82-AB-8473,Diesel,Under Maintenance
118,Owner_118,Driver_118,3,2,AB-24-AB-8673,Diesel,Available
119,Owner_119,Driver_119,1,3,AB-84-AB-2632,Diesel,In Use
120,Owner_120,Driver_120,20,2,AB-16-AB-9761,Petrol,Under Maintenance
121,Owner_121,Driver_121,11,4,AB-23-AB-6193,Petrol,In Use
122,Owner_122,Driver_122,9,3,AB-70-AB-4615,Diesel,In Use
123,Owner_123,Driver_123,7,4,AB-58-AB-2737,Petrol,In Use
124,Owner_124,Driver_124,16,3,AB-23-AB-7783,Electric,Available
125,Owner_125,Driver_125,12,3,AB-68-AB-1487,Electric,Under Maintenance
126,Owner_126,Driver_126,8,5,AB-33-AB-3240,Diesel,Available
127,Owner_127,Driver_127,15,1,AB-55-AB-3641,Electric,Available
128,Owner_128,Driver_128,1,1,AB-20-AB-7608,Petrol,Under Maintenance
129,Owner_129,Driver_129,3,5,AB-74-AB-7902,Diesel,In Use
130,Owner_130,Driver_130,9,2,AB-61-AB-2579,Diesel,Under Maintenance
131,Owner_131,Driver_131,17,5,AB-35-AB-4131,Electric,In Use
132,Owner_132,Driver_132,15,3,AB-62-AB-3059,Petrol,In Use
133,Owner_133,Driver_133,2,2,AB-37-AB-6470,Petrol,In Use
134,Owner_134,Driver_134,8,4,AB-37-AB-6518,Petrol,Available
135,Owner_135,Driver_135,13,5,AB-39-AB-7091,Petrol,Under Maintenance
136,Owner_136,Driver_136,16,5,AB-69-AB-8877,Diesel,In Use
137,Owner_137,Driver_137,8,3,AB-15-AB-8406,Diesel,Under Maintenance
138,Owner_138,Driver_138,18,5,AB-66-AB-7947,Diesel,Available
139,Owner_139,Driver_139,6,2,AB-53-AB-4428,Petrol,Available
140,Owner_140,Driver_140,12,1,AB-94-AB-2513,Electric,In Use
141,Owner_141,Driver_141,7,2,AB-53-AB-1258,Petrol,Available
142,Owner_142,Driver_142,19,4,AB-47-AB-2948,Electric,Under Maintenance
143,Owner_143,Driver_143,5,1,AB-75-AB-8073,Electric,Under Maintenance
144,Owner_144,Driver_144,10,1,AB-50-AB-4076,Diesel,Under Maintenance
145,Owner_145,Driver_145,11,2,AB-25-AB-5554,Electric,Under Maintenance
146,Owner_146,Driver_146,20,3,AB-20-AB-3607,Petrol,In Use
147,Owner_147,Driver_147,6,2,AB-37-AB-9374,Diesel,Under Maintenance
148,Owner_148,Driver_148,1,3,AB-11-AB-8603,Diesel,In Use
149,Owner_149,Driver_149,6,4,AB-35-AB-5505,Diesel,Available
150,Owner_150,Driver_150,1,1,AB-53-AB-2495,Petrol,In Use
151,Owner_151,Driver_151,14,4,AB-56-AB-6360,Diesel,Available
152,Owner_152,Driver_152,16,3,AB-73-AB-7353,Petrol,Available
153,Owner_153,Driver_153,9,1,AB-10-AB-3075,Diesel,In Use
154,Owner_154,Driver_154,8,1,AB-68-AB-2736,Electric,Under Maintenance
155,Owner_155,Driver_155,18,2,AB-74-AB-2108,Petrol,Under Maintenance
156,Owner_156,Driver_156,11,4,AB-68-AB-4790,Diesel,Available
157,Owner_157,Driver_157,9,3,AB-96-AB-9579,Petrol,Available
158,Owner_158,Driver_158,16,2,AB-87-AB-8540,Electric,In Use
159,Owner_159,Driver_159,14,5,AB-92-AB-7844,Diesel,Available
160,Owner_160,Driver_160,16,1,AB-75-AB-5759,Diesel,In Use
161,Owner_161,Driver_161,19,5,AB-47-AB-2249,Diesel,In Use
162,Owner_162,Driver_162,6,2,AB-96-AB-4349,Electric,In Use
163,Owner_163,Driver_163,3,4,AB-58-AB-4279,Diesel,In Use
164,Owner_164,Driver_164,11,5,AB-47-AB-6367,Electric,Available
165,Owner_165,Driver_165,10,2,AB-44-AB-8873,Diesel,Available
166,Owner_166,Driver_166,20,5,AB-96-AB-5918,Electric,Available
167,Owner_167,Driver_167,11,1,AB-44-AB-4031,Petrol,Under Maintenance
168,Owner_168,Driver_168,8,1,AB-48-AB-8007,Diesel,Under Maintenance
169,Owner_169,Driver_169,13,5,AB-85-AB-2850,Electric,Under Maintenance
170,Owner_170,Driver_170,10,1,AB-25-AB-2987,Diesel,In Use
171,Owner_171,Driver_171,20,3,AB-99-AB-4796,Diesel,Under Maintenance
172,Owner_172,Driver_172,16,1,AB-92-AB-3109,Petrol,Available
173,Owner_173,Driver_173,19,5,AB-35-AB-3002,Electric,Available
174,Owner_174,Driver_174,12,3,AB-28-AB-9275,Electric,In Use
175,Owner_175,Driver_175,6,2,AB-61-AB-6148,Diesel,Under Maintenance
176,Owner_176,Driver_176,20,1,AB-47-AB-6950,Diesel,Available
177,Owner_177,Driver_177,14,1,AB-22-AB-8660,Petrol,Available
178,Owner_178,Driver_178,20,4,AB-52-AB-7430,Electric,Available
179,Owner_179,Driver_179,12,1,AB-43-AB-9820,Diesel,Available
180,Owner_180,Driver_180,6,1,AB-95-AB-3664,Diesel,Under Maintenance
181,Owner_181,Driver_181,20,4,AB-99-AB-8639,Diesel,In Use
182,Owner_182,Driver_182,15,2,AB-14-AB-4210,Diesel,In Use
183,Owner_183,Driver_183,10,1,AB-90-AB-1546,Petrol,Under Maintenance
184,Owner_184,Driver_184,14,2,AB-79-AB-9214,Electric,Under Maintenance
185,Owner_185,Driver_185,12,2,AB-30-AB-8774,Petrol,Available
186,Owner_186,Driver_186,5,2,AB-58-AB-7794,Electric,Under Maintenance
187,Owner_187,Driver_187,4,3,AB-81-AB-5204,Petrol,In Use
188,Owner_188,Driver_188,2,3,AB-96-AB-2254,Diesel,Available
189,Owner_189,Driver_189,9,1,AB-97-AB-1566,Electric,Under Maintenance
190,Owner_190,Driver_190,16,3,AB-52-AB-2001,Diesel,Available
191,Owner_191,Driver_191,7,1,AB-27-AB-6309,Petrol,In Use
192,Owner_192,Driver_192,11,2,AB-53-AB-4920,Diesel,Under Maintenance
193,Owner_193,Driver_193,7,2,AB-63-AB-9916,Petrol,Available
194,Owner_194,Driver_194,6,4,AB-88-AB-1232,Diesel,In Use
195,Owner_195,Driver_195,13,5,AB-83-AB-6818,Petrol,Under Maintenance
196,Owner_196,Driver_196,15,2,AB-76-AB-1435,Diesel,In Use
197,Owner_197,Driver_197,12,4,AB-95-AB-4189,Diesel,In Use
198,Owner_198,Driver_198,4,5,AB-25-AB-2029,Diesel,Under Maintenance
199,Owner_199,Driver_199,2,2,AB-45-AB-6824,Electric,Under Maintenance
200,Owner_200,Driver_200,20,1,AB-53-AB-9211,Petrol,In Use
201,Owner_201,Driver_201,1,2,AB-72-AB-3788,Petrol,In Use
202,Owner_202,Driver_202,17,3,AB-79-AB-8758,Petrol,Under Maintenance
203,Owner_203,Driver_203,13,2,AB-15-AB-3704,Electric,Under Maintenance
204,Owner_204,Driver_204,20,4,AB-34-AB-1902,Electric,Under Maintenance
205,Owner_205,Driver_205,7,1,AB-94-AB-2990,Petrol,Available
206,Owner_206,Driver_206,12,5,AB-74-AB-2067,Petrol,In Use
207,Owner_207,Driver_207,7,1,AB-48-AB-1007,Electric,Available
208,Owner_208,Driver_208,5,3,AB-99-AB-9518,Diesel,Available
209,Owner_209,Driver_209,19,2,AB-76-AB-1293,Diesel,Available
210,Owner_210,Driver_210,3,2,AB-23-AB-4511,Diesel,Under Maintenance
211,Owner_211,Driver_211,2,1,AB-90-AB-5085,Electric,Available
212,Owner_212,Driver_212,13,3,AB-88-AB-8283,Petrol,In Use
213,Owner_213,Driver_213,12,3,AB-94-AB-5790,Petrol,In Use
214,Owner_214,Driver_214,8,1,AB-48-AB-2843,Diesel,In Use
215,Owner_215,Driver_215,15,5,AB-14-AB-5970,Electric,Under Maintenance
216,Owner_216,Driver_216,17,5,AB-86-AB-2873,Petrol,Available
217,Owner_217,Driver_217,9,1,AB-45-AB-9637,Diesel,In Use
218,Owner_218,Driver_218,12,4,AB-81-AB-2841,Diesel,Under Maintenance
219,Owner_219,Driver_219,2,2,AB-40-AB-4132,Petrol,Under Maintenance
220,Owner_220,Driver_220,7,5,AB-71-AB-3922,Diesel,Under Maintenance
221,Owner_221,Driver_221,19,5,AB-95-AB-1908,Diesel,In Use
222,Owner_222,Driver_222,16,2,AB-29-AB-7902,Petrol,In Use
223,Owner_223,Driver_223,4,4,AB-63-AB-4254,Diesel,Available
224,Owner_224,Driver_224,16,4,AB-17-AB-5421,Petrol,Under Maintenance
225,Owner_225,Driver_225,8,4,AB-82-AB-6469,Diesel,In Use
226,Owner_226,Driver_226,10,3,AB-36-AB-8523,Diesel,Available
227,Owner_227,Driver_227,16,4,AB-72-AB-1328,Petrol,Available
228,Owner_228,Driver_228,15,5,AB-43-AB-7493,Diesel,Under Maintenance
229,Owner_229,Driver_229,2,4,AB-33-AB-5868,Petrol,Available
230,Owner_230,Driver_230,16,5,AB-21-AB-1193,Electric,Available
231,Owner_231,Driver_231,11,4,AB-73-AB-2481,Electric,Available
232,Owner_232,Driver_232,20,5,AB-56-AB-9918,Electric,Available
233,Owner_233,Driver_233,13,4,AB-56-AB-2734,Petrol,In Use
234,Owner_234,Driver_234,14,3,AB-15-AB-4275,Petrol,Available
235,Owner_235,Driver_235,16,5,AB-10-AB-6343,Diesel,Under Maintenance
236,Owner_236,Driver_236,8,1,AB-35-AB-7741,Electric,In Use
237,Owner_237,Driver_237,5,4,AB-20-AB-5291,Petrol,Under Maintenance
238,Owner_238,Driver_238,8,2,AB-66-AB-6882,Electric,In Use
239,Owner_239,Driver_239,13,4,AB-15-AB-7659,Electric,Under Maintenance
240,Owner_240,Driver_240,4,1,AB-88-AB-9941,Electric,Available
241,Owner_241,Driver_241,5,5,AB-78-AB-4526,Electric,Available
242,Owner_242,Driver_242,3,5,AB-78-AB-8814,Electric,Under Maintenance
243,Owner_243,Driver_243,5,5,AB-69-AB-3272,Electric,Available
244,Owner_244,Driver_244,12,4,AB-71-AB-7122,Diesel,In Use
245,Owner_245,Driver_245,14,3,AB-49-AB-6760,Diesel,Under Maintenance
246,Owner_246,Driver_246,11,3,AB-54-AB-5792,Diesel,Under Maintenance
247,Owner_247,Driver_247,3,5,AB-32-AB-7159,Electric,Under Maintenance
248,Owner_248,Driver_248,3,1,AB-62-AB-8304,Diesel,In Use
249,Owner_249,Driver_249,20,2,AB-40-AB-8575,Petrol,Available
250,Owner_250,Driver_250,8,1,AB-71-AB-3018,Petrol,Available
251,Owner_251,Driver_251,8,3,AB-64-AB-3003,Petrol,Under Maintenance
252,Owner_252,Driver_252,7,4,AB-40-AB-7737,Electric,Under Maintenance
253,Owner_253,Driver_253,19,3,AB-20-AB-6133,Electric,Available
254,Owner_254,Driver_254,9,2,AB-85-AB-2374,Electric,Under Maintenance
255,Owner_255,Driver_255,4,3,AB-73-AB-8977,Diesel,Under Maintenance
256,Owner_256,Driver_256,6,3,AB-70-AB-4472,Petrol,Available
257,Owner_257,Driver_257,15,5,AB-47-AB-6272,Petrol,Under Maintenance
258,Owner_258,Driver_258,20,3,AB-65-AB-2022,Electric,Available
259,Owner_259,Driver_259,6,5,AB-28-AB-9120,Diesel,In Use
260,Owner_260,Driver_260,12,3,AB-85-AB-1491,Diesel,Available
261,Owner_261,Driver_261,6,4,AB-49-AB-4653,Diesel,Available
262,Owner_262,Driver_262,13,3,AB-56-AB-2983,Petrol,Under Maintenance
263,Owner_263,Driver_263,10,5,AB-64-AB-2256,Electric,In Use
264,Owner_264,Driver_264,2,4,AB-51-AB-2488,Diesel,Under Maintenance
265,Owner_265,Driver_265,15,2,AB-63-AB-6214,Diesel,Under Maintenance
266,Owner_266,Driver_266,13,3,AB-91-AB-5943,Diesel,Under Maintenance
267,Owner_267,Driver_267,11,3,AB-37-AB-3894,Diesel,Under Maintenance
268,Owner_268,Driver_268,2,5,AB-28-AB-1882,Electric,In Use
269,Owner_269,Driver_269,11,5,AB-73-AB-6052,Diesel,Available
270,Owner_270,Driver_270,12,4,AB-26-AB-2769,Petrol,Under Maintenance
271,Owner_271,Driver_271,10,4,AB-42-AB-4287,Diesel,Under Maintenance
272,Owner_272,Driver_272,6,4,AB-78-AB-5845,Diesel,In Use
273,Owner_273,Driver_273,3,5,AB-32-AB-8839,Diesel,Available
274,Owner_274,Driver_274,7,4,AB-25-AB-2130,Electric,Under Maintenance
275,Owner_275,Driver_275,10,3,AB-34-AB-5900,Electric,Under Maintenance
276,Owner_276,Driver_276,8,1,AB-43-AB-4318,Electric,Available
277,Owner_277,Driver_277,3,1,AB-58-AB-7920,Electric,Available
278,Owner_278,Driver_278,4,1,AB-63-AB-2395,Petrol,Under Maintenance
279,Owner_279,Driver_279,10,1,AB-78-AB-2251,Petrol,Under Maintenance
280,Owner_280,Driver_280,3,5,AB-99-AB-3108,Electric,In Use
281,Owner_281,Driver_281,3,3,AB-34-AB-3172,Petrol,Available
282,Owner_282,Driver_282,3,5,AB-65-AB-4195,Electric,In Use
283,Owner_283,Driver_283,8,5,AB-56-AB-2418,Diesel,Available
284,Owner_284,Driver_284,13,5,AB-52-AB-7846,Petrol,Under Maintenance
285,Owner_285,Driver_285,14,3,AB-14-AB-4444,Diesel,Available
286,Owner_286,Driver_286,15,3,AB-58-AB-8834,Electric,In Use
287,Owner_287,Driver_287,8,4,AB-49-AB-7528,Electric,Under Maintenance
288,Owner_288,Driver_288,20,2,AB-26-AB-5908,Petrol,In Use
289,Owner_289,Driver_289,1,3,AB-73-AB-3610,Electric,Under Maintenance
290,Owner_290,Driver_290,4,4,AB-20-AB-8640,Petrol,Under Maintenance
291,Owner_291,Driver_291,1,5,AB-95-AB-2250,Diesel,Available
292,Owner_292,Driver_292,6,3,AB-81-AB-4087,Diesel,In Use
293,Owner_293,Driver_293,8,3,AB-93-AB-8487,Petrol,Under Maintenance
294,Owner_294,Driver_294,17,4,AB-23-AB-6894,Diesel,Available
295,Owner_295,Driver_295,7,4,AB-42-AB-3411,Electric,Under Maintenance
296,Owner_296,Driver_296,7,3,AB-26-AB-8796,Diesel,Under Maintenance
297,Owner_297,Driver_297,9,1,AB-86-AB-4914,Electric,In Use
298,Owner_298,Driver_298,8,1,AB-71-AB-5097,Petrol,Under Maintenance
299,Owner_299,Driver_299,11,3,AB-88-AB-8818,Diesel,Under Maintenance
300,Owner_300,Driver_300,9,1,AB-91-AB-1661,Petrol,Available
301,Owner_301,Driver_301,15,4,AB-94-AB-4474,Electric,Under Maintenance
302,Owner_302,Driver_302,9,1,AB-83-AB-4284,Diesel,Under Maintenance
303,Owner_303,Driver_303,1,4,AB-75-AB-5867,Electric,Available
304,Owner_304,Driver_304,20,1,AB-24-AB-5025,Electric,In Use
305,Owner_305,Driver_305,16,3,AB-84-AB-1213,Petrol,Available
306,Owner_306,Driver_306,12,4,AB-29-AB-3201,Electric,In Use
307,Owner_307,Driver_307,18,4,AB-94-AB-9750,Electric,Under Maintenance
308,Owner_308,Driver_308,15,2,AB-68-AB-7408,Petrol,In Use
309,Owner_309,Driver_309,7,1,AB-29-AB-7266,Petrol,Available
310,Owner_310,Driver_310,18,2,AB-73-AB-5899,Electric,In Use
311,Owner_311,Driver_311,3,4,AB-60-AB-1459,Electric,In Use
312,Owner_312,Driver_312,16,4,AB-97-AB-2938,Electric,Available
313,Owner_313,Driver_313,3,4,AB-44-AB-6038,Petrol,In Use
314,Owner_314,Driver_314,8,4,AB-25-AB-5338,Petrol,Available
315,Owner_315,Driver_315,11,2,AB-71-AB-5639,Petrol,Under Maintenance
316,Owner_316,Driver_316,2,4,AB-71-AB-6485,Electric,In Use
317,Owner_317,Driver_317,1,3,AB-87-AB-4585,Diesel,In Use
318,Owner_318,Driver_318,6,4,AB-77-AB-9433,Diesel,Under Maintenance
319,Owner_319,Driver_319,2,5,AB-62-AB-3520,Petrol,Under Maintenance
320,Owner_320,Driver_320,10,4,AB-26-AB-3917,Electric,Under Maintenance
321,Owner_321,Driver_321,7,4,AB-22-AB-5485,Electric,Under Maintenance
322,Owner_322,Driver_322,13,4,AB-87-AB-1964,Petrol,Available
323,Owner_323,Driver_323,17,5,AB-35-AB-7133,Electric,Available
324,Owner_324,Driver_324,6,1,AB-85-AB-4903,Electric,In Use
325,Owner_325,Driver_325,4,4,AB-53-AB-2494,Electric,Under Maintenance
326,Owner_326,Driver_326,11,2,AB-34-AB-4889,Electric,Under Maintenance
327,Owner_327,Driver_327,16,5,AB-64-AB-1661,Diesel,In Use
328,Owner_328,Driver_328,8,1,AB-21-AB-9022,Diesel,Available
329,Owner_329,Driver_329,13,5,AB-19-AB-1348,Petrol,In Use
330,Owner_330,Driver_330,9,3,AB-88-AB-2963,Petrol,Available
331,Owner_331,Driver_331,4,2,AB-16-AB-2926,Petrol,Available
332,Owner_332,Driver_332,11,5,AB-54-AB-2858,Petrol,Available
333,Owner_333,Driver_333,17,1,AB-41-AB-4092,Diesel,In Use
334,Owner_334,Driver_334,20,3,AB-72-AB-8205,Petrol,Available
335,Owner_335,Driver_335,1,1,AB-10-AB-7591,Electric,Available
336,Owner_336,Driver_336,7,4,AB-86-AB-4970,Electric,In Use
337,Owner_337,Driver_337,12,3,AB-99-AB-8332,Electric,Available
338,Owner_338,Driver_338,17,1,AB-39-AB-3196,Petrol,In Use
339,Owner_339,Driver_339,3,5,AB-44-AB-8116,Petrol,In Use
340,Owner_340,Driver_340,17,5,AB-29-AB-6213,Petrol,In Use
341,Owner_341,Driver_341,14,2,AB-94-AB-9076,Electric,Under Maintenance
342,Owner_342,Driver_342,5,4,AB-48-AB-3947,Petrol,Under Maintenance
343,Owner_343,Driver_343,10,3,AB-56-AB-1317,Petrol,Available
344,Owner_344,Driver_344,14,4,AB-11-AB-8327,Electric,Available
345,Owner_345,Driver_345,12,5,AB-36-AB-7973,Petrol,Under Maintenance
346,Owner_346,Driver_346,10,3,AB-69-AB-8727,Petrol,Available
347,Owner_347,Driver_347,17,3,AB-81-AB-5760,Diesel,In Use
348,Owner_348,Driver_348,11,4,AB-25-AB-9263,Electric,Available
349,Owner_349,Driver_349,13,4,AB-29-AB-3486,Diesel,Under Maintenance
350,Owner_350,Driver_350,6,3,AB-18-AB-9041,Electric,Available
351,Owner_351,Driver_351,15,4,AB-67-AB-9574,Diesel,Under Maintenance
352,Owner_352,Driver_352,3,1,AB-99-AB-3187,Petrol,In Use
353,Owner_353,Driver_353,10,1,AB-93-AB-6382,Diesel,Under Maintenance
354,Owner_354,Driver_354,13,4,AB-17-AB-6994,Petrol,In Use
355,Owner_355,Driver_355,8,2,AB-26-AB-3224,Petrol,In Use
356,Owner_356,Driver_356,6,1,AB-91-AB-2881,Petrol,In Use
357,Owner_357,Driver_357,10,3,AB-32-AB-9889,Electric,Available
358,Owner_358,Driver_358,13,2,AB-35-AB-3118,Diesel,Available
