id,List_of_items,number_of_items_per_type,total_number_of_items,store_id,operator_id,city_id
57,"[1, 2, 3, 4, 5]","[16, 45, 42, 35, 48]",186,57,1,6
58,"[1, 2, 3, 4, 5]","[33, 22, 26, 40, 14]",135,58,1,6
59,"[1, 2, 3, 4, 5]","[74, 84, 47, 87, 57]",349,59,1,6
60,"[1, 2, 3, 4, 5]","[50, 61, 72, 46, 48]",277,60,1,6
61,"[1, 2, 3, 4, 5]","[33, 70, 30, 38, 35]",206,61,1,7
62,"[1, 2, 3, 4, 5]","[58, 75, 78, 32, 61]",304,62,1,7
63,"[1, 2, 3, 4, 5]","[36, 52, 74, 74, 10]",246,63,1,7
64,"[1, 2, 3, 4, 5]","[91, 19, 68, 88, 68]",334,64,1,7
65,"[1, 2, 3, 4, 5]","[19, 24, 95, 71, 73]",282,65,1,7
66,"[1, 2, 3, 4, 5]","[26, 75, 40, 52, 44]",237,66,1,7
67,"[1, 2, 3, 4, 5]","[75, 92, 38, 51, 25]",281,67,1,7
68,"[1, 2, 3, 4, 5]","[42, 37, 76, 89, 81]",325,68,1,7
69,"[1, 2, 3, 4, 5]","[93, 68, 43, 26, 62]",292,69,1,7
70,"[1, 2, 3, 4, 5]","[53, 36, 96, 90, 19]",294,70,1,7
71,"[1, 2, 3, 4, 5]","[90, 69, 17, 25, 41]",242,71,1,8
72,"[1, 2, 3, 4, 5]","[37, 68, 52, 39, 15]",211,72,1,8
73,"[1, 2, 3, 4, 5]","[88, 37, 66, 17, 97]",305,73,1,8
74,"[1, 2, 3, 4, 5]","[30, 80, 33, 19, 75]",237,74,1,8
75,"[1, 2, 3, 4, 5]","[11, 10, 45, 29, 12]",107,75,1,8
76,"[1, 2, 3, 4, 5]","[24, 82, 30, 82, 70]",288,76,1,8
77,"[1, 2, 3, 4, 5]","[62, 94, 35, 31, 24]",246,77,1,8
78,"[1, 2, 3, 4, 5]","[48, 48, 49, 71, 87]",303,78,1,8
79,"[1, 2, 3, 4, 5]","[71, 54, 38, 14, 94]",271,79,1,8
80,"[1, 2, 3, 4, 5]","[47, 69, 67, 29, 18]",230,80,1,8
81,"[1, 2, 3, 4, 5]","[44, 70, 61, 60, 83]",318,81,1,9
82,"[1, 2, 3, 4, 5]","[77, 75, 43, 15, 26]",236,82,1,9
83,"[1, 2, 3, 4, 5]","[100, 86, 19, 11, 18]",234,83,1,9
84,"[1, 2, 3, 4, 5]","[20, 75, 18, 70, 32]",215,84,1,9
85,"[1, 2, 3, 4, 5]","[100, 49, 33, 27, 41]",250,85,1,9
86,"[1, 2, 3, 4, 5]","[76, 25, 52, 19, 36]",208,86,1,9
87,"[1, 2, 3, 4, 5]","[16, 50, 98, 31, 80]",275,87,1,9
88,"[1, 2, 3, 4, 5]","[98, 37, 47, 91, 89]",362,88,1,9
89,"[1, 2, 3, 4, 5]","[36, 60, 30, 26, 48]",200,89,1,9
90,"[1, 2, 3, 4, 5]","[27, 94, 27, 52, 29]",229,90,1,9
91,"[1, 2, 3, 4, 5]","[100, 51, 27, 23, 35]",236,91,1,10
92,"[1, 2, 3, 4, 5]","[71, 10, 87, 97, 72]",337,92,1,10
93,"[1, 2, 3, 4, 5]","[93, 30, 60, 12, 92]",287,93,1,10
94,"[1, 2, 3, 4, 5]","[82, 93, 16, 72, 80]",343,94,1,10
95,"[1, 2, 3, 4, 5]","[67, 57, 23, 75, 55]",277,95,1,10
96,"[1, 2, 3, 4, 5]","[97, 33, 78, 38, 68]",314,96,1,10
97,"[1, 2, 3, 4, 5]","[25, 88, 19, 54, 94]",280,97,1,10
98,"[1, 2, 3, 4, 5]","[100, 57, 58, 83, 25]",323,98,1,10
99,"[1, 2, 3, 4, 5]","[25, 22, 28, 71, 11]",157,99,1,10
100,"[1, 2, 3, 4, 5]","[69, 72, 48, 97, 52]",338,100,1,10
101,"[1, 2, 3, 4, 5]","[91, 26, 14, 65, 42]",238,101,1,11
102,"[1, 2, 3, 4, 5]","[82, 16, 67, 10, 96]",271,102,1,11
103,"[1, 2, 3, 4, 5]","[65, 74, 60, 60, 19]",278,103,1,11
104,"[1, 2, 3, 4, 5]","[30, 100, 20, 85, 82]",317,104,1,11
105,"[1, 2, 3, 4, 5]","[82, 88, 37, 42, 11]",260,105,1,11
106,"[1, 2, 3, 4, 5]","[12, 92, 21, 47, 43]",215,106,1,11
107,"[1, 2, 3, 4, 5]","[68, 47, 57, 83, 33]",288,107,1,11
108,"[1, 2, 3, 4, 5]","[20, 19, 21, 49, 42]",151,108,1,11
109,"[1, 2, 3, 4, 5]","[97, 63, 14, 12, 88]",274,109,1,11
110,"[1, 2, 3, 4, 5]","[20, 81, 74, 68, 37]",280,110,1,11
111,"[1, 2, 3, 4, 5]","[37, 54, 36, 56, 28]",211,111,1,12
112,"[1, 2, 3, 4, 5]","[74, 20, 27, 77, 66]",264,112,1,12
113,"[1, 2, 3, 4, 5]","[57, 72, 85, 73, 37]",324,113,1,12
114,"[1, 2, 3, 4, 5]","[19, 49, 52, 49, 17]",186,114,1,12
115,"[1, 2, 3, 4, 5]","[25, 42, 64, 92, 20]",243,115,1,12
116,"[1, 2, 3, 4, 5]","[15, 29, 63, 52, 42]",201,116,1,12
117,"[1, 2, 3, 4, 5]","[59, 38, 84, 71, 55]",307,117,1,12
118,"[1, 2, 3, 4, 5]","[85, 17, 29, 18, 57]",206,118,1,12
119,"[1, 2, 3, 4, 5]","[35, 19, 94, 32, 26]",206,119,1,12
120,"[1, 2, 3, 4, 5]","[80, 63, 11, 72, 45]",271,120,1,12
121,"[1, 2, 3, 4, 5]","[24, 50, 78, 53, 74]",279,121,1,13
122,"[1, 2, 3, 4, 5]","[56, 78, 45, 33, 41]",253,122,1,13
123,"[1, 2, 3, 4, 5]","[83, 60, 52, 98, 17]",310,123,1,13
124,"[1, 2, 3, 4, 5]","[15, 78, 23, 13, 66]",195,124,1,13
125,"[1, 2, 3, 4, 5]","[53, 18, 20, 33, 63]",187,125,1,13
126,"[1, 2, 3, 4, 5]","[65, 83, 80, 66, 53]",347,126,1,13
127,"[1, 2, 3, 4, 5]","[15, 27, 92, 44, 31]",209,127,1,13
128,"[1, 2, 3, 4, 5]","[91, 40, 25, 27, 76]",259,128,1,13
129,"[1, 2, 3, 4, 5]","[76, 23, 95, 98, 34]",326,129,1,13
130,"[1, 2, 3, 4, 5]","[63, 26, 60, 70, 76]",295,130,1,13
131,"[1, 2, 3, 4, 5]","[11, 58, 71, 62, 35]",237,131,1,14
132,"[1, 2, 3, 4, 5]","[92, 100, 14, 37, 88]",331,132,1,14
133,"[1, 2, 3, 4, 5]","[74, 53, 71, 19, 74]",291,133,1,14
134,"[1, 2, 3, 4, 5]","[91, 79, 75, 55, 50]",350,134,1,14
135,"[1, 2, 3, 4, 5]","[63, 58, 22, 13, 28]",184,135,1,14
136,"[1, 2, 3, 4, 5]","[67, 98, 82, 12, 31]",290,136,1,14
137,"[1, 2, 3, 4, 5]","[18, 51, 88, 39, 37]",233,137,1,14
138,"[1, 2, 3, 4, 5]","[53, 37, 19, 63, 57]",229,138,1,14
139,"[1, 2, 3, 4, 5]","[17, 72, 86, 72, 53]",300,139,1,14
140,"[1, 2, 3, 4, 5]","[87, 87, 14, 36, 34]",258,140,1,14
141,"[1, 2, 3, 4, 5]","[47, 58, 74, 98, 74]",351,141,1,15
142,"[1, 2, 3, 4, 5]","[95, 11, 62, 100, 87]",355,142,1,15
143,"[1, 2, 3, 4, 5]","[61, 20, 68, 79, 56]",284,143,1,15
144,"[1, 2, 3, 4, 5]","[48, 49, 45, 27, 27]",196,144,1,15
145,"[1, 2, 3, 4, 5]","[21, 56, 15, 61, 53]",206,145,1,15
146,"[1, 2, 3, 4, 5]","[47, 58, 32, 98, 69]",304,146,1,15
147,"[1, 2, 3, 4, 5]","[90, 60, 78, 12, 32]",272,147,1,15
148,"[1, 2, 3, 4, 5]","[57, 22, 20, 98, 96]",293,148,1,15
149,"[1, 2, 3, 4, 5]","[75, 94, 33, 67, 87]",356,149,1,15
150,"[1, 2, 3, 4, 5]","[17, 50, 70, 45, 94]",276,150,1,15
151,"[1, 2, 3, 4, 5]","[61, 60, 10, 86, 40]",257,151,1,16
152,"[1, 2, 3, 4, 5]","[32, 38, 11, 34, 45]",160,152,1,16
153,"[1, 2, 3, 4, 5]","[84, 34, 88, 56, 29]",291,153,1,16
154,"[1, 2, 3, 4, 5]","[94, 28, 20, 43, 70]",255,154,1,16
155,"[1, 2, 3, 4, 5]","[25, 74, 53, 45, 54]",251,155,1,16
156,"[1, 2, 3, 4, 5]","[26, 82, 94, 98, 25]",325,156,1,16
157,"[1, 2, 3, 4, 5]","[76, 82, 65, 21, 36]",280,157,1,16
158,"[1, 2, 3, 4, 5]","[22, 74, 18, 39, 47]",200,158,1,16
159,"[1, 2, 3, 4, 5]","[94, 40, 69, 54, 52]",309,159,1,16
160,"[1, 2, 3, 4, 5]","[31, 97, 60, 23, 40]",251,160,1,16
161,"[1, 2, 3, 4, 5]","[22, 16, 19, 39, 74]",170,161,1,17
162,"[1, 2, 3, 4, 5]","[63, 16, 25, 60, 43]",207,162,1,17
163,"[1, 2, 3, 4, 5]","[20, 76, 63, 20, 85]",264,163,1,17
164,"[1, 2, 3, 4, 5]","[43, 67, 23, 15, 22]",170,164,1,17
165,"[1, 2, 3, 4, 5]","[31, 81, 25, 100, 37]",274,165,1,17
166,"[1, 2, 3, 4, 5]","[78, 82, 63, 32, 48]",303,166,1,17
167,"[1, 2, 3, 4, 5]","[77, 79, 99, 82, 34]",371,167,1,17
168,"[1, 2, 3, 4, 5]","[46, 64, 99, 97, 59]",365,168,1,17
169,"[1, 2, 3, 4, 5]","[77, 16, 41, 42, 71]",247,169,1,17
170,"[1, 2, 3, 4, 5]","[44, 12, 12, 53, 31]",152,170,1,17
171,"[1, 2, 3, 4, 5]","[62, 64, 17, 73, 18]",234,171,1,18
172,"[1, 2, 3, 4, 5]","[13, 35, 87, 16, 65]",216,172,1,18
173,"[1, 2, 3, 4, 5]","[28, 39, 90, 49, 19]",225,173,1,18
174,"[1, 2, 3, 4, 5]","[13, 39, 86, 52, 30]",220,174,1,18
175,"[1, 2, 3, 4, 5]","[65, 39, 66, 25, 74]",269,175,1,18
176,"[1, 2, 3, 4, 5]","[45, 37, 41, 59, 98]",280,176,1,18
177,"[1, 2, 3, 4, 5]","[19, 15, 79, 65, 77]",255,177,1,18
178,"[1, 2, 3, 4, 5]","[100, 81, 87, 23, 42]",333,178,1,18
179,"[1, 2, 3, 4, 5]","[16, 32, 85, 70, 41]",244,179,1,18
180,"[1, 2, 3, 4, 5]","[62, 14, 13, 60, 12]",161,180,1,18
181,"[1, 2, 3, 4, 5]","[53, 11, 25, 72, 95]",256,181,1,19
182,"[1, 2, 3, 4, 5]","[48, 11, 15, 46, 82]",202,182,1,19
183,"[1, 2, 3, 4, 5]","[27, 55, 87, 27, 47]",243,183,1,19
184,"[1, 2, 3, 4, 5]","[54, 85, 11, 40, 50]",240,184,1,19
185,"[1, 2, 3, 4, 5]","[69, 57, 91, 61, 47]",325,185,1,19
186,"[1, 2, 3, 4, 5]","[74, 25, 54, 100, 65]",318,186,1,19
187,"[1, 2, 3, 4, 5]","[39, 48, 43, 56, 88]",274,187,1,19
188,"[1, 2, 3, 4, 5]","[57, 58, 39, 34, 50]",238,188,1,19
189,"[1, 2, 3, 4, 5]","[91, 90, 62, 37, 100]",380,189,1,19
190,"[1, 2, 3, 4, 5]","[52, 66, 21, 38, 97]",274,190,1,19
191,"[1, 2, 3, 4, 5]","[18, 61, 14, 60, 52]",205,191,1,20
192,"[1, 2, 3, 4, 5]","[87, 62, 79, 96, 39]",363,192,1,20
193,"[1, 2, 3, 4, 5]","[19, 61, 16, 85, 66]",247,193,1,20
194,"[1, 2, 3, 4, 5]","[78, 76, 54, 70, 26]",304,194,1,20
195,"[1, 2, 3, 4, 5]","[94, 33, 15, 10, 81]",233,195,1,20
196,"[1, 2, 3, 4, 5]","[13, 20, 84, 84, 82]",283,196,1,20
197,"[1, 2, 3, 4, 5]","[64, 62, 87, 63, 39]",315,197,1,20
198,"[1, 2, 3, 4, 5]","[96, 24, 69, 27, 49]",265,198,1,20
199,"[1, 2, 3, 4, 5]","[42, 14, 83, 45, 48]",232,199,1,20
200,"[1, 2, 3, 4, 5]","[42, 35, 97, 45, 93]",312,200,1,20
201,"[1, 2, 3, 4, 5]","[87, 52, 20, 71, 90]",320,201,1,21
202,"[1, 2, 3, 4, 5]","[25, 84, 100, 61, 85]",355,202,1,21
203,"[1, 2, 3, 4, 5]","[29, 76, 48, 50, 26]",229,203,1,21
204,"[1, 2, 3, 4, 5]","[69, 66, 65, 93, 45]",338,204,1,21
205,"[1, 2, 3, 4, 5]","[42, 37, 97, 97, 62]",335,205,1,21
206,"[1, 2, 3, 4, 5]","[93, 20, 59, 24, 63]",259,206,1,21
207,"[1, 2, 3, 4, 5]","[40, 11, 22, 34, 72]",179,207,1,21
208,"[1, 2, 3, 4, 5]","[95, 70, 10, 38, 64]",277,208,1,21
209,"[1, 2, 3, 4, 5]","[66, 73, 14, 50, 48]",251,209,1,21
210,"[1, 2, 3, 4, 5]","[95, 92, 15, 31, 56]",289,210,1,21
211,"[1, 2, 3, 4, 5]","[99, 89, 56, 41, 81]",366,211,1,22
212,"[1, 2, 3, 4, 5]","[43, 11, 96, 70, 77]",297,212,1,22
213,"[1, 2, 3, 4, 5]","[83, 34, 91, 76, 32]",316,213,1,22
214,"[1, 2, 3, 4, 5]","[33, 11, 15, 32, 62]",153,214,1,22
215,"[1, 2, 3, 4, 5]","[43, 60, 44, 54, 80]",281,215,1,22
216,"[1, 2, 3, 4, 5]","[21, 88, 52, 11, 77]",249,216,1,22
217,"[1, 2, 3, 4, 5]","[52, 76, 11, 41, 18]",198,217,1,22
218,"[1, 2, 3, 4, 5]","[76, 55, 31, 54, 84]",300,218,1,22
219,"[1, 2, 3, 4, 5]","[10, 15, 47, 98, 67]",237,219,1,22
220,"[1, 2, 3, 4, 5]","[13, 55, 49, 37, 71]",225,220,1,22
221,"[1, 2, 3, 4, 5]","[57, 45, 50, 68, 74]",294,221,1,23
222,"[1, 2, 3, 4, 5]","[49, 80, 45, 59, 53]",286,222,1,23
223,"[1, 2, 3, 4, 5]","[83, 74, 53, 87, 94]",391,223,1,23
224,"[1, 2, 3, 4, 5]","[94, 93, 94, 68, 31]",380,224,1,23
225,"[1, 2, 3, 4, 5]","[57, 82, 65, 70, 58]",332,225,1,23
226,"[1, 2, 3, 4, 5]","[61, 54, 88, 55, 52]",310,226,1,23
227,"[1, 2, 3, 4, 5]","[14, 39, 29, 41, 23]",146,227,1,23
228,"[1, 2, 3, 4, 5]","[18, 54, 69, 45, 29]",215,228,1,23
229,"[1, 2, 3, 4, 5]","[92, 46, 43, 38, 15]",234,229,1,23
230,"[1, 2, 3, 4, 5]","[85, 12, 44, 61, 12]",214,230,1,23
231,"[1, 2, 3, 4, 5]","[83, 99, 11, 49, 80]",322,231,1,24
232,"[1, 2, 3, 4, 5]","[64, 34, 55, 15, 27]",195,232,1,24
233,"[1, 2, 3, 4, 5]","[26, 75, 20, 67, 52]",240,233,1,24
234,"[1, 2, 3, 4, 5]","[76, 63, 75, 45, 100]",359,234,1,24
235,"[1, 2, 3, 4, 5]","[23, 56, 17, 45, 62]",203,235,1,24
236,"[1, 2, 3, 4, 5]","[74, 51, 99, 95, 12]",331,236,1,24
237,"[1, 2, 3, 4, 5]","[43, 71, 39, 87, 82]",322,237,1,24
238,"[1, 2, 3, 4, 5]","[82, 56, 18, 10, 48]",214,238,1,24
239,"[1, 2, 3, 4, 5]","[31, 25, 68, 60, 20]",204,239,1,24
240,"[1, 2, 3, 4, 5]","[99, 76, 15, 23, 87]",300,240,1,24
241,"[1, 2, 3, 4, 5]","[48, 96, 34, 64, 35]",277,241,1,25
242,"[1, 2, 3, 4, 5]","[79, 81, 91, 100, 29]",380,242,1,25
243,"[1, 2, 3, 4, 5]","[80, 100, 54, 92, 20]",346,243,1,25
244,"[1, 2, 3, 4, 5]","[32, 63, 77, 19, 34]",225,244,1,25
245,"[1, 2, 3, 4, 5]","[42, 83, 77, 83, 34]",319,245,1,25
246,"[1, 2, 3, 4, 5]","[93, 24, 91, 35, 28]",271,246,1,25
247,"[1, 2, 3, 4, 5]","[15, 78, 60, 56, 53]",262,247,1,25
248,"[1, 2, 3, 4, 5]","[67, 22, 96, 89, 62]",336,248,1,25
249,"[1, 2, 3, 4, 5]","[83, 48, 33, 95, 32]",291,249,1,25
250,"[1, 2, 3, 4, 5]","[44, 34, 31, 76, 41]",226,250,1,25
251,"[1, 2, 3, 4, 5]","[73, 60, 40, 100, 81]",354,251,2,1
252,"[1, 2, 3, 4, 5]","[51, 99, 28, 40, 46]",264,252,2,1
253,"[1, 2, 3, 4, 5]","[70, 86, 37, 47, 96]",336,253,2,1
254,"[1, 2, 3, 4, 5]","[55, 55, 61, 98, 86]",355,254,2,1
255,"[1, 2, 3, 4, 5]","[69, 91, 50, 51, 75]",336,255,2,1
256,"[1, 2, 3, 4, 5]","[28, 63, 40, 25, 25]",181,256,2,1
257,"[1, 2, 3, 4, 5]","[86, 84, 16, 13, 41]",240,257,2,1
258,"[1, 2, 3, 4, 5]","[80, 24, 50, 37, 75]",266,258,2,1
259,"[1, 2, 3, 4, 5]","[78, 98, 82, 36, 37]",331,259,2,1
260,"[1, 2, 3, 4, 5]","[61, 31, 52, 26, 88]",258,260,2,1
261,"[1, 2, 3, 4, 5]","[56, 70, 34, 90, 98]",348,261,2,2
262,"[1, 2, 3, 4, 5]","[73, 55, 53, 32, 79]",292,262,2,2
263,"[1, 2, 3, 4, 5]","[91, 61, 23, 44, 75]",294,263,2,2
264,"[1, 2, 3, 4, 5]","[26, 85, 39, 49, 42]",241,264,2,2
265,"[1, 2, 3, 4, 5]","[98, 35, 49, 83, 37]",302,265,2,2
266,"[1, 2, 3, 4, 5]","[82, 54, 82, 10, 33]",261,266,2,2
267,"[1, 2, 3, 4, 5]","[60, 25, 100, 90, 86]",361,267,2,2
268,"[1, 2, 3, 4, 5]","[84, 56, 11, 36, 16]",203,268,2,2
269,"[1, 2, 3, 4, 5]","[29, 23, 17, 26, 78]",173,269,2,2
270,"[1, 2, 3, 4, 5]","[55, 30, 45, 27, 45]",202,270,2,2
271,"[1, 2, 3, 4, 5]","[27, 22, 83, 79, 89]",300,271,2,3
272,"[1, 2, 3, 4, 5]","[71, 75, 31, 98, 43]",318,272,2,3
273,"[1, 2, 3, 4, 5]","[55, 52, 53, 11, 52]",223,273,2,3
274,"[1, 2, 3, 4, 5]","[78, 35, 45, 16, 17]",191,274,2,3
275,"[1, 2, 3, 4, 5]","[34, 73, 29, 26, 100]",262,275,2,3
276,"[1, 2, 3, 4, 5]","[47, 88, 38, 82, 35]",290,276,2,3
277,"[1, 2, 3, 4, 5]","[66, 99, 23, 68, 47]",303,277,2,3
278,"[1, 2, 3, 4, 5]","[46, 22, 56, 36, 62]",222,278,2,3
279,"[1, 2, 3, 4, 5]","[82, 43, 89, 60, 16]",290,279,2,3
280,"[1, 2, 3, 4, 5]","[54, 21, 69, 91, 73]",308,280,2,3
281,"[1, 2, 3, 4, 5]","[91, 66, 79, 94, 84]",414,281,2,4
282,"[1, 2, 3, 4, 5]","[75, 18, 81, 99, 79]",352,282,2,4
283,"[1, 2, 3, 4, 5]","[15, 81, 95, 56, 50]",297,283,2,4
284,"[1, 2, 3, 4, 5]","[27, 100, 52, 78, 43]",300,284,2,4
285,"[1, 2, 3, 4, 5]","[30, 40, 37, 43, 69]",219,285,2,4
286,"[1, 2, 3, 4, 5]","[78, 19, 88, 41, 46]",272,286,2,4
287,"[1, 2, 3, 4, 5]","[53, 38, 36, 79, 46]",252,287,2,4
288,"[1, 2, 3, 4, 5]","[25, 45, 79, 48, 42]",239,288,2,4
289,"[1, 2, 3, 4, 5]","[28, 89, 30, 99, 67]",313,289,2,4
290,"[1, 2, 3, 4, 5]","[26, 18, 46, 65, 38]",193,290,2,4
291,"[1, 2, 3, 4, 5]","[54, 10, 12, 79, 52]",207,291,2,5
292,"[1, 2, 3, 4, 5]","[35, 42, 74, 24, 55]",230,292,2,5
293,"[1, 2, 3, 4, 5]","[59, 74, 15, 86, 82]",316,293,2,5
294,"[1, 2, 3, 4, 5]","[89, 66, 31, 21, 61]",268,294,2,5
295,"[1, 2, 3, 4, 5]","[79, 20, 21, 13, 80]",213,295,2,5
296,"[1, 2, 3, 4, 5]","[93, 92, 61, 53, 53]",352,296,2,5
297,"[1, 2, 3, 4, 5]","[26, 18, 95, 98, 40]",277,297,2,5
298,"[1, 2, 3, 4, 5]","[94, 15, 42, 62, 25]",238,298,2,5
299,"[1, 2, 3, 4, 5]","[21, 75, 71, 10, 67]",244,299,2,5
300,"[1, 2, 3, 4, 5]","[57, 14, 85, 51, 92]",299,300,2,5
301,"[1, 2, 3, 4, 5]","[41, 30, 18, 71, 84]",244,301,2,6
302,"[1, 2, 3, 4, 5]","[62, 59, 32, 29, 10]",192,302,2,6
303,"[1, 2, 3, 4, 5]","[30, 59, 22, 91, 29]",231,303,2,6
304,"[1, 2, 3, 4, 5]","[87, 88, 52, 88, 89]",404,304,2,6
305,"[1, 2, 3, 4, 5]","[31, 93, 73, 92, 87]",376,305,2,6
306,"[1, 2, 3, 4, 5]","[63, 99, 13, 72, 78]",325,306,2,6
307,"[1, 2, 3, 4, 5]","[16, 34, 94, 48, 78]",270,307,2,6
308,"[1, 2, 3, 4, 5]","[17, 16, 83, 34, 77]",227,308,2,6
309,"[1, 2, 3, 4, 5]","[31, 47, 95, 83, 68]",324,309,2,6
310,"[1, 2, 3, 4, 5]","[17, 42, 48, 68, 33]",208,310,2,6
311,"[1, 2, 3, 4, 5]","[66, 72, 83, 85, 74]",380,311,2,7
312,"[1, 2, 3, 4, 5]","[15, 71, 69, 97, 54]",306,312,2,7
313,"[1, 2, 3, 4, 5]","[45, 15, 34, 34, 84]",212,313,2,7
314,"[1, 2, 3, 4, 5]","[79, 28, 15, 21, 71]",214,314,2,7
315,"[1, 2, 3, 4, 5]","[19, 17, 47, 17, 32]",132,315,2,7
316,"[1, 2, 3, 4, 5]","[99, 75, 83, 20, 90]",367,316,2,7
317,"[1, 2, 3, 4, 5]","[38, 88, 51, 100, 44]",321,317,2,7
318,"[1, 2, 3, 4, 5]","[36, 14, 17, 56, 27]",150,318,2,7
319,"[1, 2, 3, 4, 5]","[31, 36, 68, 87, 93]",315,319,2,7
320,"[1, 2, 3, 4, 5]","[32, 36, 76, 65, 23]",232,320,2,7
321,"[1, 2, 3, 4, 5]","[97, 100, 17, 14, 19]",247,321,2,8
322,"[1, 2, 3, 4, 5]","[72, 15, 53, 47, 84]",271,322,2,8
323,"[1, 2, 3, 4, 5]","[68, 91, 43, 24, 87]",313,323,2,8
