id,List_of_items,number_of_items_per_type,total_number_of_items,store_id,operator_id,city_id
77,"[1, 2, 3, 4, 5]","[48, 87, 63, 82, 69]",349,77,1,9
78,"[1, 2, 3, 4, 5]","[35, 96, 67, 27, 64]",289,78,1,9
79,"[1, 2, 3, 4, 5]","[91, 87, 20, 34, 83]",315,79,1,9
80,"[1, 2, 3, 4, 5]","[58, 97, 32, 49, 26]",262,80,1,9
81,"[1, 2, 3, 4, 5]","[85, 38, 32, 60, 26]",241,81,1,10
82,"[1, 2, 3, 4, 5]","[96, 71, 73, 24, 51]",315,82,1,10
83,"[1, 2, 3, 4, 5]","[10, 38, 69, 58, 66]",241,83,1,10
84,"[1, 2, 3, 4, 5]","[15, 63, 50, 93, 49]",270,84,1,10
85,"[1, 2, 3, 4, 5]","[66, 84, 80, 37, 58]",325,85,1,10
86,"[1, 2, 3, 4, 5]","[83, 70, 87, 97, 88]",425,86,1,10
87,"[1, 2, 3, 4, 5]","[87, 20, 99, 46, 73]",325,87,1,10
88,"[1, 2, 3, 4, 5]","[73, 68, 22, 90, 100]",353,88,1,10
89,"[1, 2, 3, 4, 5]","[76, 95, 79, 93, 65]",408,89,1,10
90,"[1, 2, 3, 4, 5]","[84, 73, 78, 57, 57]",349,90,1,10
91,"[1, 2, 3, 4, 5]","[54, 34, 54, 96, 74]",312,91,1,11
92,"[1, 2, 3, 4, 5]","[40, 72, 95, 85, 23]",315,92,1,11
93,"[1, 2, 3, 4, 5]","[37, 65, 67, 83, 44]",296,93,1,11
94,"[1, 2, 3, 4, 5]","[92, 15, 73, 46, 78]",304,94,1,11
95,"[1, 2, 3, 4, 5]","[27, 57, 74, 85, 90]",333,95,1,11
96,"[1, 2, 3, 4, 5]","[81, 29, 71, 48, 38]",267,96,1,11
97,"[1, 2, 3, 4, 5]","[85, 21, 62, 90, 55]",313,97,1,11
98,"[1, 2, 3, 4, 5]","[65, 31, 44, 24, 97]",261,98,1,11
99,"[1, 2, 3, 4, 5]","[72, 97, 87, 37, 16]",309,99,1,11
100,"[1, 2, 3, 4, 5]","[87, 57, 49, 34, 32]",259,100,1,11
101,"[1, 2, 3, 4, 5]","[33, 81, 72, 73, 31]",290,101,1,12
102,"[1, 2, 3, 4, 5]","[62, 66, 100, 46, 20]",294,102,1,12
103,"[1, 2, 3, 4, 5]","[49, 64, 56, 16, 23]",208,103,1,12
104,"[1, 2, 3, 4, 5]","[15, 48, 48, 39, 89]",239,104,1,12
105,"[1, 2, 3, 4, 5]","[98, 72, 100, 57, 29]",356,105,1,12
106,"[1, 2, 3, 4, 5]","[80, 53, 20, 88, 23]",264,106,1,12
107,"[1, 2, 3, 4, 5]","[17, 97, 46, 21, 90]",271,107,1,12
108,"[1, 2, 3, 4, 5]","[44, 57, 67, 86, 53]",307,108,1,12
109,"[1, 2, 3, 4, 5]","[19, 75, 60, 21, 18]",193,109,1,12
110,"[1, 2, 3, 4, 5]","[18, 52, 56, 11, 72]",209,110,1,12
111,"[1, 2, 3, 4, 5]","[34, 49, 45, 12, 99]",239,111,1,13
112,"[1, 2, 3, 4, 5]","[44, 11, 79, 46, 13]",193,112,1,13
113,"[1, 2, 3, 4, 5]","[18, 40, 24, 79, 67]",228,113,1,13
114,"[1, 2, 3, 4, 5]","[52, 90, 86, 31, 57]",316,114,1,13
115,"[1, 2, 3, 4, 5]","[59, 24, 79, 64, 72]",298,115,1,13
116,"[1, 2, 3, 4, 5]","[98, 80, 14, 93, 88]",373,116,1,13
117,"[1, 2, 3, 4, 5]","[91, 20, 48, 60, 52]",271,117,1,13
118,"[1, 2, 3, 4, 5]","[86, 94, 56, 97, 31]",364,118,1,13
119,"[1, 2, 3, 4, 5]","[87, 54, 57, 31, 85]",314,119,1,13
120,"[1, 2, 3, 4, 5]","[57, 96, 46, 93, 96]",388,120,1,13
121,"[1, 2, 3, 4, 5]","[39, 59, 80, 23, 72]",273,121,1,14
122,"[1, 2, 3, 4, 5]","[96, 31, 48, 100, 39]",314,122,1,14
123,"[1, 2, 3, 4, 5]","[22, 49, 30, 38, 72]",211,123,1,14
124,"[1, 2, 3, 4, 5]","[82, 35, 89, 13, 43]",262,124,1,14
125,"[1, 2, 3, 4, 5]","[31, 88, 51, 73, 29]",272,125,1,14
126,"[1, 2, 3, 4, 5]","[56, 100, 52, 59, 68]",335,126,1,14
127,"[1, 2, 3, 4, 5]","[23, 61, 62, 37, 10]",193,127,1,14
128,"[1, 2, 3, 4, 5]","[88, 82, 72, 80, 48]",370,128,1,14
129,"[1, 2, 3, 4, 5]","[69, 96, 85, 43, 88]",381,129,1,14
130,"[1, 2, 3, 4, 5]","[86, 21, 93, 44, 25]",269,130,1,14
131,"[1, 2, 3, 4, 5]","[45, 65, 46, 27, 71]",254,131,1,15
132,"[1, 2, 3, 4, 5]","[77, 43, 94, 30, 99]",343,132,1,15
133,"[1, 2, 3, 4, 5]","[87, 100, 87, 14, 33]",321,133,1,15
134,"[1, 2, 3, 4, 5]","[46, 84, 50, 54, 38]",272,134,1,15
135,"[1, 2, 3, 4, 5]","[54, 66, 86, 81, 87]",374,135,1,15
136,"[1, 2, 3, 4, 5]","[46, 70, 90, 45, 56]",307,136,1,15
137,"[1, 2, 3, 4, 5]","[75, 23, 16, 78, 53]",245,137,1,15
138,"[1, 2, 3, 4, 5]","[81, 37, 16, 89, 67]",290,138,1,15
139,"[1, 2, 3, 4, 5]","[51, 88, 37, 39, 46]",261,139,1,15
140,"[1, 2, 3, 4, 5]","[69, 67, 23, 84, 23]",266,140,1,15
141,"[1, 2, 3, 4, 5]","[99, 33, 74, 88, 72]",366,141,1,16
142,"[1, 2, 3, 4, 5]","[57, 71, 38, 29, 63]",258,142,1,16
143,"[1, 2, 3, 4, 5]","[80, 59, 40, 98, 31]",308,143,1,16
144,"[1, 2, 3, 4, 5]","[44, 13, 27, 90, 42]",216,144,1,16
145,"[1, 2, 3, 4, 5]","[66, 66, 50, 100, 16]",298,145,1,16
146,"[1, 2, 3, 4, 5]","[87, 83, 96, 63, 19]",348,146,1,16
147,"[1, 2, 3, 4, 5]","[81, 34, 62, 59, 28]",264,147,1,16
148,"[1, 2, 3, 4, 5]","[27, 42, 62, 84, 73]",288,148,1,16
149,"[1, 2, 3, 4, 5]","[53, 31, 80, 97, 24]",285,149,1,16
150,"[1, 2, 3, 4, 5]","[11, 67, 30, 39, 52]",199,150,1,16
151,"[1, 2, 3, 4, 5]","[100, 97, 22, 85, 77]",381,151,1,17
152,"[1, 2, 3, 4, 5]","[44, 13, 73, 90, 54]",274,152,1,17
153,"[1, 2, 3, 4, 5]","[89, 10, 45, 90, 48]",282,153,1,17
154,"[1, 2, 3, 4, 5]","[80, 25, 68, 60, 73]",306,154,1,17
155,"[1, 2, 3, 4, 5]","[58, 65, 13, 99, 26]",261,155,1,17
156,"[1, 2, 3, 4, 5]","[63, 42, 95, 44, 21]",265,156,1,17
157,"[1, 2, 3, 4, 5]","[27, 85, 87, 41, 67]",307,157,1,17
158,"[1, 2, 3, 4, 5]","[27, 92, 51, 28, 24]",222,158,1,17
159,"[1, 2, 3, 4, 5]","[49, 98, 25, 45, 34]",251,159,1,17
160,"[1, 2, 3, 4, 5]","[95, 27, 51, 41, 70]",284,160,1,17
161,"[1, 2, 3, 4, 5]","[54, 79, 30, 95, 17]",275,161,1,18
162,"[1, 2, 3, 4, 5]","[48, 62, 13, 53, 96]",272,162,1,18
163,"[1, 2, 3, 4, 5]","[50, 57, 76, 65, 82]",330,163,1,18
164,"[1, 2, 3, 4, 5]","[32, 15, 48, 12, 38]",145,164,1,18
165,"[1, 2, 3, 4, 5]","[67, 45, 91, 36, 87]",326,165,1,18
166,"[1, 2, 3, 4, 5]","[43, 19, 72, 87, 54]",275,166,1,18
167,"[1, 2, 3, 4, 5]","[27, 54, 32, 47, 52]",212,167,1,18
168,"[1, 2, 3, 4, 5]","[75, 97, 60, 58, 20]",310,168,1,18
169,"[1, 2, 3, 4, 5]","[59, 64, 89, 89, 31]",332,169,1,18
170,"[1, 2, 3, 4, 5]","[73, 13, 79, 27, 63]",255,170,1,18
171,"[1, 2, 3, 4, 5]","[60, 97, 31, 83, 86]",357,171,1,19
172,"[1, 2, 3, 4, 5]","[76, 12, 91, 75, 73]",327,172,1,19
173,"[1, 2, 3, 4, 5]","[60, 87, 44, 76, 35]",302,173,1,19
174,"[1, 2, 3, 4, 5]","[57, 63, 14, 19, 66]",219,174,1,19
175,"[1, 2, 3, 4, 5]","[32, 53, 78, 26, 50]",239,175,1,19
176,"[1, 2, 3, 4, 5]","[96, 64, 64, 97, 70]",391,176,1,19
177,"[1, 2, 3, 4, 5]","[85, 93, 100, 12, 41]",331,177,1,19
178,"[1, 2, 3, 4, 5]","[13, 55, 64, 55, 18]",205,178,1,19
179,"[1, 2, 3, 4, 5]","[99, 95, 28, 95, 99]",416,179,1,19
180,"[1, 2, 3, 4, 5]","[62, 40, 82, 99, 78]",361,180,1,19
181,"[1, 2, 3, 4, 5]","[60, 88, 80, 16, 27]",271,181,1,20
182,"[1, 2, 3, 4, 5]","[60, 98, 65, 12, 42]",277,182,1,20
183,"[1, 2, 3, 4, 5]","[48, 77, 93, 77, 18]",313,183,1,20
184,"[1, 2, 3, 4, 5]","[21, 16, 89, 70, 27]",223,184,1,20
185,"[1, 2, 3, 4, 5]","[76, 17, 21, 44, 71]",229,185,1,20
186,"[1, 2, 3, 4, 5]","[39, 72, 100, 50, 13]",274,186,1,20
187,"[1, 2, 3, 4, 5]","[16, 33, 66, 16, 44]",175,187,1,20
188,"[1, 2, 3, 4, 5]","[59, 84, 82, 99, 30]",354,188,1,20
189,"[1, 2, 3, 4, 5]","[14, 33, 69, 86, 31]",233,189,1,20
190,"[1, 2, 3, 4, 5]","[62, 78, 83, 54, 58]",335,190,1,20
191,"[1, 2, 3, 4, 5]","[11, 17, 88, 26, 15]",157,191,1,21
192,"[1, 2, 3, 4, 5]","[84, 65, 54, 75, 71]",349,192,1,21
193,"[1, 2, 3, 4, 5]","[35, 50, 31, 10, 65]",191,193,1,21
194,"[1, 2, 3, 4, 5]","[72, 11, 85, 35, 68]",271,194,1,21
195,"[1, 2, 3, 4, 5]","[56, 17, 48, 39, 16]",176,195,1,21
196,"[1, 2, 3, 4, 5]","[61, 27, 86, 80, 66]",320,196,1,21
197,"[1, 2, 3, 4, 5]","[80, 92, 34, 76, 25]",307,197,1,21
198,"[1, 2, 3, 4, 5]","[29, 71, 49, 16, 12]",177,198,1,21
199,"[1, 2, 3, 4, 5]","[40, 66, 42, 63, 10]",221,199,1,21
200,"[1, 2, 3, 4, 5]","[31, 34, 88, 45, 89]",287,200,1,21
201,"[1, 2, 3, 4, 5]","[22, 37, 39, 51, 77]",226,201,1,22
202,"[1, 2, 3, 4, 5]","[100, 42, 10, 17, 96]",265,202,1,22
203,"[1, 2, 3, 4, 5]","[70, 27, 37, 26, 52]",212,203,1,22
204,"[1, 2, 3, 4, 5]","[46, 97, 31, 74, 17]",265,204,1,22
205,"[1, 2, 3, 4, 5]","[64, 78, 45, 84, 44]",315,205,1,22
206,"[1, 2, 3, 4, 5]","[30, 50, 36, 92, 52]",260,206,1,22
207,"[1, 2, 3, 4, 5]","[21, 43, 97, 35, 91]",287,207,1,22
208,"[1, 2, 3, 4, 5]","[70, 30, 45, 57, 83]",285,208,1,22
209,"[1, 2, 3, 4, 5]","[63, 64, 95, 26, 72]",320,209,1,22
210,"[1, 2, 3, 4, 5]","[56, 69, 21, 32, 93]",271,210,1,22
211,"[1, 2, 3, 4, 5]","[77, 48, 56, 29, 17]",227,211,1,23
212,"[1, 2, 3, 4, 5]","[32, 19, 51, 51, 87]",240,212,1,23
213,"[1, 2, 3, 4, 5]","[18, 48, 57, 55, 99]",277,213,1,23
214,"[1, 2, 3, 4, 5]","[80, 10, 46, 81, 62]",279,214,1,23
215,"[1, 2, 3, 4, 5]","[25, 69, 28, 81, 51]",254,215,1,23
216,"[1, 2, 3, 4, 5]","[38, 89, 11, 13, 55]",206,216,1,23
217,"[1, 2, 3, 4, 5]","[19, 45, 55, 23, 74]",216,217,1,23
218,"[1, 2, 3, 4, 5]","[97, 89, 45, 97, 78]",406,218,1,23
219,"[1, 2, 3, 4, 5]","[35, 45, 89, 45, 11]",225,219,1,23
220,"[1, 2, 3, 4, 5]","[77, 60, 93, 11, 19]",260,220,1,23
221,"[1, 2, 3, 4, 5]","[97, 68, 52, 69, 68]",354,221,1,24
222,"[1, 2, 3, 4, 5]","[33, 80, 12, 40, 74]",239,222,1,24
223,"[1, 2, 3, 4, 5]","[53, 50, 46, 48, 95]",292,223,1,24
224,"[1, 2, 3, 4, 5]","[19, 92, 18, 85, 22]",236,224,1,24
225,"[1, 2, 3, 4, 5]","[47, 29, 94, 36, 89]",295,225,1,24
226,"[1, 2, 3, 4, 5]","[79, 75, 45, 92, 31]",322,226,1,24
227,"[1, 2, 3, 4, 5]","[92, 54, 32, 78, 61]",317,227,1,24
228,"[1, 2, 3, 4, 5]","[88, 35, 69, 20, 14]",226,228,1,24
229,"[1, 2, 3, 4, 5]","[27, 76, 94, 13, 41]",251,229,1,24
230,"[1, 2, 3, 4, 5]","[25, 76, 48, 92, 80]",321,230,1,24
231,"[1, 2, 3, 4, 5]","[78, 75, 93, 55, 62]",363,231,1,25
232,"[1, 2, 3, 4, 5]","[10, 47, 10, 88, 86]",241,232,1,25
233,"[1, 2, 3, 4, 5]","[37, 98, 89, 44, 77]",345,233,1,25
234,"[1, 2, 3, 4, 5]","[53, 71, 79, 90, 78]",371,234,1,25
235,"[1, 2, 3, 4, 5]","[97, 88, 60, 71, 63]",379,235,1,25
236,"[1, 2, 3, 4, 5]","[47, 70, 60, 27, 40]",244,236,1,25
237,"[1, 2, 3, 4, 5]","[57, 67, 94, 74, 21]",313,237,1,25
238,"[1, 2, 3, 4, 5]","[50, 35, 15, 24, 25]",149,238,1,25
239,"[1, 2, 3, 4, 5]","[61, 48, 27, 53, 67]",256,239,1,25
240,"[1, 2, 3, 4, 5]","[83, 30, 62, 55, 100]",330,240,1,25
241,"[1, 2, 3, 4, 5]","[53, 75, 25, 88, 77]",318,241,2,1
242,"[1, 2, 3, 4, 5]","[32, 26, 55, 57, 98]",268,242,2,1
243,"[1, 2, 3, 4, 5]","[89, 66, 36, 50, 70]",311,243,2,1
244,"[1, 2, 3, 4, 5]","[88, 53, 35, 81, 87]",344,244,2,1
245,"[1, 2, 3, 4, 5]","[30, 34, 99, 74, 33]",270,245,2,1
246,"[1, 2, 3, 4, 5]","[46, 97, 15, 82, 39]",279,246,2,1
247,"[1, 2, 3, 4, 5]","[44, 80, 68, 89, 55]",336,247,2,1
248,"[1, 2, 3, 4, 5]","[42, 79, 57, 80, 70]",328,248,2,1
249,"[1, 2, 3, 4, 5]","[35, 52, 81, 16, 92]",276,249,2,1
250,"[1, 2, 3, 4, 5]","[47, 87, 84, 78, 61]",357,250,2,1
251,"[1, 2, 3, 4, 5]","[88, 53, 31, 34, 10]",216,251,2,2
252,"[1, 2, 3, 4, 5]","[91, 44, 43, 91, 93]",362,252,2,2
253,"[1, 2, 3, 4, 5]","[50, 74, 71, 17, 50]",262,253,2,2
254,"[1, 2, 3, 4, 5]","[56, 95, 62, 13, 48]",274,254,2,2
255,"[1, 2, 3, 4, 5]","[98, 55, 51, 40, 84]",328,255,2,2
256,"[1, 2, 3, 4, 5]","[74, 95, 78, 73, 12]",332,256,2,2
257,"[1, 2, 3, 4, 5]","[63, 44, 36, 91, 53]",287,257,2,2
258,"[1, 2, 3, 4, 5]","[68, 15, 67, 53, 33]",236,258,2,2
259,"[1, 2, 3, 4, 5]","[23, 33, 79, 90, 32]",257,259,2,2
260,"[1, 2, 3, 4, 5]","[76, 24, 17, 99, 82]",298,260,2,2
261,"[1, 2, 3, 4, 5]","[45, 21, 66, 39, 35]",206,261,2,3
262,"[1, 2, 3, 4, 5]","[46, 100, 60, 21, 76]",303,262,2,3
263,"[1, 2, 3, 4, 5]","[12, 72, 11, 91, 83]",269,263,2,3
264,"[1, 2, 3, 4, 5]","[52, 27, 10, 83, 16]",188,264,2,3
265,"[1, 2, 3, 4, 5]","[47, 83, 19, 45, 49]",243,265,2,3
266,"[1, 2, 3, 4, 5]","[65, 34, 51, 48, 28]",226,266,2,3
267,"[1, 2, 3, 4, 5]","[95, 17, 47, 44, 63]",266,267,2,3
268,"[1, 2, 3, 4, 5]","[77, 65, 65, 29, 88]",324,268,2,3
269,"[1, 2, 3, 4, 5]","[43, 82, 40, 30, 32]",227,269,2,3
270,"[1, 2, 3, 4, 5]","[48, 55, 97, 83, 74]",357,270,2,3
271,"[1, 2, 3, 4, 5]","[95, 73, 70, 54, 67]",359,271,2,4
272,"[1, 2, 3, 4, 5]","[12, 51, 59, 69, 44]",235,272,2,4
273,"[1, 2, 3, 4, 5]","[24, 84, 44, 65, 83]",300,273,2,4
274,"[1, 2, 3, 4, 5]","[67, 76, 64, 96, 21]",324,274,2,4
275,"[1, 2, 3, 4, 5]","[60, 94, 23, 20, 61]",258,275,2,4
276,"[1, 2, 3, 4, 5]","[15, 35, 30, 15, 59]",154,276,2,4
277,"[1, 2, 3, 4, 5]","[15, 59, 98, 87, 98]",357,277,2,4
278,"[1, 2, 3, 4, 5]","[45, 87, 24, 98, 47]",301,278,2,4
279,"[1, 2, 3, 4, 5]","[26, 27, 99, 52, 58]",262,279,2,4
280,"[1, 2, 3, 4, 5]","[71, 26, 94, 77, 16]",284,280,2,4
281,"[1, 2, 3, 4, 5]","[33, 62, 22, 64, 79]",260,281,2,5
282,"[1, 2, 3, 4, 5]","[33, 29, 30, 53, 83]",228,282,2,5
283,"[1, 2, 3, 4, 5]","[53, 67, 65, 54, 25]",264,283,2,5
284,"[1, 2, 3, 4, 5]","[19, 77, 65, 68, 88]",317,284,2,5
285,"[1, 2, 3, 4, 5]","[90, 77, 60, 16, 57]",300,285,2,5
286,"[1, 2, 3, 4, 5]","[49, 53, 27, 17, 82]",228,286,2,5
287,"[1, 2, 3, 4, 5]","[38, 39, 18, 99, 95]",289,287,2,5
288,"[1, 2, 3, 4, 5]","[94, 92, 22, 14, 65]",287,288,2,5
289,"[1, 2, 3, 4, 5]","[81, 74, 26, 24, 77]",282,289,2,5
290,"[1, 2, 3, 4, 5]","[60, 73, 79, 11, 78]",301,290,2,5
291,"[1, 2, 3, 4, 5]","[59, 58, 55, 62, 52]",286,291,2,6
292,"[1, 2, 3, 4, 5]","[79, 26, 13, 29, 81]",228,292,2,6
293,"[1, 2, 3, 4, 5]","[20, 82, 100, 91, 41]",334,293,2,6
294,"[1, 2, 3, 4, 5]","[72, 30, 25, 88, 45]",260,294,2,6
295,"[1, 2, 3, 4, 5]","[30, 64, 27, 81, 91]",293,295,2,6
296,"[1, 2, 3, 4, 5]","[89, 38, 35, 70, 92]",324,296,2,6
297,"[1, 2, 3, 4, 5]","[81, 53, 85, 45, 61]",325,297,2,6
298,"[1, 2, 3, 4, 5]","[43, 74, 66, 56, 85]",324,298,2,6
299,"[1, 2, 3, 4, 5]","[66, 41, 34, 55, 66]",262,299,2,6
300,"[1, 2, 3, 4, 5]","[78, 28, 39, 92, 61]",298,300,2,6
301,"[1, 2, 3, 4, 5]","[67, 97, 43, 99, 24]",330,301,2,7
302,"[1, 2, 3, 4, 5]","[84, 82, 76, 86, 87]",415,302,2,7
303,"[1, 2, 3, 4, 5]","[84, 43, 21, 15, 34]",197,303,2,7
304,"[1, 2, 3, 4, 5]","[85, 86, 91, 10, 57]",329,304,2,7
305,"[1, 2, 3, 4, 5]","[47, 20, 86, 67, 79]",299,305,2,7
306,"[1, 2, 3, 4, 5]","[88, 88, 47, 11, 51]",285,306,2,7
307,"[1, 2, 3, 4, 5]","[24, 72, 49, 89, 43]",277,307,2,7
308,"[1, 2, 3, 4, 5]","[38, 14, 79, 95, 34]",260,308,2,7
309,"[1, 2, 3, 4, 5]","[84, 77, 63, 79, 63]",366,309,2,7
310,"[1, 2, 3, 4, 5]","[38, 85, 97, 35, 78]",333,310,2,7
311,"[1, 2, 3, 4, 5]","[77, 61, 75, 70, 19]",302,311,2,9
312,"[1, 2, 3, 4, 5]","[64, 52, 59, 92, 19]",286,312,2,9
313,"[1, 2, 3, 4, 5]","[53, 97, 97, 79, 97]",423,313,2,9
314,"[1, 2, 3, 4, 5]","[32, 82, 27, 36, 77]",254,314,2,9
315,"[1, 2, 3, 4, 5]","[37, 97, 11, 43, 48]",236,315,2,9
316,"[1, 2, 3, 4, 5]","[68, 14, 43, 42, 49]",216,316,2,9
317,"[1, 2, 3, 4, 5]","[23, 45, 11, 28, 74]",181,317,2,9
318,"[1, 2, 3, 4, 5]","[52, 68, 87, 23, 78]",308,318,2,9
319,"[1, 2, 3, 4, 5]","[59, 61, 39, 100, 29]",288,319,2,9
320,"[1, 2, 3, 4, 5]","[65, 44, 91, 56, 80]",336,320,2,9
321,"[1, 2, 3, 4, 5]","[98, 12, 66, 96, 25]",297,321,2,10
322,"[1, 2, 3, 4, 5]","[49, 46, 93, 74, 34]",296,322,2,10
323,"[1, 2, 3, 4, 5]","[65, 42, 36, 25, 37]",205,323,2,10
